id;group;label;Wikidata;DBpedia;CSO;embeddingID;embedding
cs.DC;cs;Distributed, Parallel, and Cluster Computing;http://www.wikidata.org/entity/Q180634;http://dbpedia.org/resource/Distributed_computing;https://cso.kmi.open.ac.uk/topics/distributed_systems;8.0;"[-8.13667834e-01 -1.20396361e-01  9.75362584e-02  6.65487289e-01
  6.49272263e-01  5.37176132e-01  9.86307263e-01  1.46578820e-02
  1.88893020e-01  7.50067592e-01  7.71042585e-01  1.89359784e-01
  6.33993745e-01 -6.92101538e-01 -1.41907573e-01 -3.52131009e-01
  4.97770518e-01 -5.85978091e-01 -1.05361927e+00  1.58849478e-01
 -2.31188893e-01 -3.93975317e-01 -1.80062428e-01  1.57055154e-01
 -4.00307357e-01 -7.64743015e-02 -2.34488145e-01 -2.55168974e-01
  1.03801227e+00  6.08123004e-01  4.75675941e-01 -7.76147768e-02
  1.91504493e-01  2.17172399e-01 -4.12248969e-01  5.32405913e-01
  6.88709736e-01 -1.81842253e-01  1.76442266e+00 -2.86418676e-01
  9.02520120e-02  1.25441477e-02  6.57530189e-01 -8.73569429e-01
 -4.60962087e-01 -1.51405588e-01  6.99678838e-01  5.09294510e-01
  1.54083657e+00 -2.50080407e-01  2.51684319e-02  6.21763110e-01
  1.86038435e-01 -4.28246744e-02  4.75675076e-01  7.74557829e-01
  5.07201910e-01  6.37569904e-01 -2.02226520e-01  9.13341641e-01
 -5.34799874e-01  4.12868857e-01 -1.08192153e-01  7.69690454e-01
  1.94764823e-01 -3.37184459e-01 -6.22125685e-01  1.84389995e-04
 -9.15572140e-03 -2.81800836e-01  5.85005656e-02 -1.96109369e-01
  4.83999886e-02  8.27226117e-02  4.22678649e-01 -2.32262433e-01
  6.26951396e-01  8.01301062e-01 -3.69271129e-01 -2.75550455e-01
  7.03371882e-01 -5.77929080e-01  3.49648297e-01  7.25289583e-01
 -8.06180239e-01 -4.17503417e-01  1.80368751e-01  1.57753661e-01
 -5.49387448e-02  6.17510319e-01 -4.35659796e-01  2.64216512e-01
 -1.56460375e-01 -7.01248109e-01 -1.21218228e+00 -1.21283627e+00
 -6.92379594e-01 -3.69787931e-01 -7.71297291e-02 -4.69626963e-01
 -3.41645688e-01  2.79181451e-01 -3.84554833e-01  5.11043072e-01
  2.07102150e-01  3.60205695e-02  7.52870739e-01  4.59600627e-01
 -7.47940958e-01 -2.69759625e-01  4.34115738e-01 -3.12743150e-02
 -3.04191679e-01  5.85918427e-01  2.06514388e-01  9.57681715e-01
  3.63725983e-03  4.17721093e-01 -1.48930266e-01 -1.11388475e-01
 -2.83411384e-01 -7.84345329e-01 -2.65931815e-01  3.43087167e-01
  1.44300067e+00  3.10478926e-01 -9.07515287e-01  8.54272604e-01
  7.44467378e-01  6.80273116e-01  1.51379183e-01 -4.26369399e-01
 -6.16344929e-01  1.33807886e+00  2.31315702e-01 -5.95335439e-02
 -1.68729629e-02  4.85491872e-01  7.65476406e-01  3.97999495e-01
  1.04488051e+00  7.63507545e-01 -6.61347449e-01 -1.96362928e-01
  4.80681509e-01 -9.78511930e-01 -6.13050759e-01  3.95216197e-01
 -1.52325913e-01 -4.16864038e-01  9.89288211e-01  4.80434567e-01
 -5.40780187e-01 -3.03397715e-01  3.62400897e-02  2.14947924e-01
  7.98912421e-02 -8.19773436e-01 -1.10655451e+00  3.92602772e-01
  1.48695087e+00  4.92528617e-01 -1.66190803e+00 -3.91550690e-01
 -5.13849676e-01  1.02120772e-01  3.19474816e-01  3.07886243e-01
  1.45099506e-01 -7.70464361e-01  1.30530462e-01 -4.15669501e-01
 -2.56360859e-01  1.12861907e+00  4.33673188e-02 -5.23521364e-01
  1.06295913e-01  1.49987862e-01 -1.16693413e+00  3.00635219e-01
  5.60744777e-02 -4.93853062e-01 -2.11204961e-01  7.63064563e-01
 -2.31164396e-01 -1.03889823e+00  8.18448234e-03  4.73201126e-02
 -9.20038074e-02 -1.56171083e-01  1.20611534e-01 -4.07372266e-01
 -4.80665639e-02 -3.80691826e-01 -3.90081376e-01  1.36107743e-01
  3.04149138e-03 -1.10715365e+00 -9.07474101e-01  1.54524401e-01]"
cs.DL;cs;Digital Libraries;http://www.wikidata.org/wiki/Q212805;http://dbpedia.org/resource/Digital_library;https://cso.kmi.open.ac.uk/topics/digital_libraries;9.0;"[-0.10795617  0.73037297  0.00908327 -0.38978326  0.73290104 -0.1865202
 -0.02497748 -0.16196369  0.8652036   0.15036018  0.13674134 -0.5631149
 -0.88848513  0.47578338 -0.60508204 -0.42555487  0.56031656 -0.51025116
 -0.88204414  0.36424452  0.312906   -0.61319584  0.36866027 -0.40499058
  0.6900233  -0.70756     0.02541235 -0.17150882 -0.03048927  0.18736067
 -0.27458885 -0.32190177  0.46621853  0.18569851  0.10439157  0.8943094
  1.1184381   0.35421604  0.9794482  -0.18529215  0.6212162   0.11522634
  0.29363462 -1.0717281  -0.5322118   0.8243492  -0.05174216  0.27536952
  0.20828263 -0.13897192  0.05249982 -0.05878236 -0.4733949   0.29424775
  0.21533117  0.15244968 -0.27670833  0.19345546  0.34836745  0.06121477
 -0.5941695   0.12214455 -0.5676495   0.41249505 -0.06819374 -0.22781526
 -0.15921983  0.5870457   0.06352177 -0.33334762 -0.12038609  0.56902665
  0.1368037  -0.38846698  0.16671914  0.07965482  0.70182323  0.85057175
 -0.2700549  -1.1845301  -0.0732042  -0.29077402  0.34218556 -0.36124822
 -0.53693366 -0.45297524 -1.5540695   0.9443594  -0.34605262  0.57455593
 -0.2505652   0.95056736 -0.4336945   0.10525119 -0.09319358  0.14403172
 -1.00086    -0.46214485 -0.32649073 -0.2370734   0.0740955   0.29223192
  0.98306423  1.2433547   0.62256503  0.7744882   0.34669417  0.52754706
 -1.1148456  -0.41451767  0.5665557  -0.22922376  0.6767988   0.14833307
 -0.3749712   0.7027656   0.30342135  0.08675987 -0.3536849  -0.8723089
  0.12858252  0.4360224   0.36675462 -0.7520626   0.24586043  0.33419862
 -0.504902    0.60586745  0.37447563 -0.807876   -0.27115107  0.3416747
 -0.00480204  0.59818244 -0.44099575 -0.09141646 -0.32666206 -0.7038475
  0.38431832 -0.45688593  0.19128893  0.5546057  -1.0152336  -0.23457794
  0.31605667  0.30610657 -0.8669862  -0.41344005 -0.443225   -0.4007287
  0.73719305  0.863137   -0.5438908  -0.42317164  0.39503616  0.7825794
  0.31242177  0.09636357 -0.7991748  -0.07456199  0.14571477  0.490996
 -0.07998364 -0.23813562  0.18005821  0.49363446 -0.43883377  0.0383776
  0.38084325 -0.02489448  0.29173535 -0.46901122 -0.13013598 -0.64614034
 -0.07176318  0.13418895 -0.09687412  0.3365602   0.21544541  0.7236621
 -0.5540135   0.7610408   0.5915926  -0.38355413 -0.07346503 -1.0433756
 -0.99175173  0.6657688   0.38206136 -0.28712323  0.35216397 -0.16605155
 -0.18267317  0.2117175  -0.41035306 -0.9125535   0.59066594 -0.18441965
 -0.41193163  0.34063393]"
cs.DM;cs;Discrete Mathematics;http://www.wikidata.org/entity/Q121416;http://dbpedia.org/resource/Discrete_mathematics;;10.0;"[-6.8135655e-01  1.2719636e-01  2.8600207e-02 -6.1304223e-02
  1.0591719e-01 -5.6088018e-01  3.9713532e-01 -2.3565367e-01
  5.1893550e-01  8.7122524e-01  4.5349824e-01 -9.5820129e-01
  5.8441319e-02 -5.2689224e-01 -1.0975599e+00  1.1427691e-01
  8.6601084e-01 -4.8095798e-01 -1.6348828e-02  1.3668193e-01
 -7.6860434e-01 -1.0550016e+00 -8.9318383e-01 -4.3443999e-01
  1.4660841e+00 -3.2353160e-01 -4.8509747e-02 -5.2817643e-01
  4.7573921e-01  3.6744231e-01  6.4682746e-01 -3.0733827e-01
  5.5989344e-02  9.0643626e-01  9.4783336e-01  4.9231365e-01
  2.0099492e-01  2.6037309e-01  1.3306239e+00  6.3534811e-02
  2.7483639e-01 -1.2680091e-01  5.0548553e-01 -9.8036522e-01
 -2.4195696e-01 -2.7659974e-01  1.8458232e-02  9.9664554e-02
  9.4602078e-01 -5.7700306e-01  3.4203076e-01  2.3218818e-02
 -5.8177346e-01  3.7879956e-01 -4.6291700e-01  4.2366052e-01
  1.3173325e-01 -1.9867319e-01  6.2362558e-01  1.5375029e-01
 -2.4489775e-01  7.4770802e-01 -1.0871558e-03 -3.4810627e-01
  6.2632430e-01  1.7351431e-01 -6.1311150e-01  3.4962764e-01
 -2.7238292e-01  8.7414181e-01  8.3030206e-01 -5.6366003e-01
 -4.2276737e-01 -1.2182222e-01  1.5918531e-02  5.3003401e-01
 -4.7805387e-01  8.4859037e-01 -9.7869349e-01 -6.1797953e-01
  6.9080716e-01 -6.6248262e-01 -2.1394944e-02  4.0355152e-01
 -3.1943494e-01 -5.4894197e-01  8.0888107e-02 -1.0615582e-01
  1.1150216e-01  2.7904937e-01 -1.0440365e+00  7.5347073e-02
 -2.1719521e-01  4.9784380e-01 -1.0290173e+00 -1.2129492e-01
 -1.3920741e+00 -4.0431671e-02  3.5747733e-02 -1.2885131e-01
  8.6051725e-02  2.4166268e-01 -5.9693050e-01  1.3879771e+00
  4.8790655e-01 -1.0487787e-01  3.3732262e-01 -2.1997389e-01
 -8.1911570e-01 -3.4195739e-01  3.3286822e-01 -3.5629408e-03
 -3.2704729e-01 -1.1302545e-01  7.2096698e-02  5.6783688e-01
  4.5537647e-02  1.1370655e+00  1.9545151e-01 -1.2351501e+00
  3.9914703e-01 -7.4991547e-02 -6.4756298e-01  3.7002933e-01
  2.7079785e-01 -1.1053018e-01  1.0055542e-01  2.2021794e-01
  8.4435004e-01  2.4187280e-01  7.3392469e-01 -9.5476645e-01
 -5.3041101e-01  8.0071354e-01  1.8998407e-01  2.8305048e-01
  5.4892832e-01 -7.3993099e-01 -4.4648173e-01 -1.4636274e-01
 -5.5252846e-02  7.2082436e-01  1.0625404e-01  3.8017038e-01
  7.7828771e-01  6.2271059e-02 -3.6319876e-01 -9.4173187e-01
 -1.8709289e-01  4.1716495e-01  2.0173134e-01  1.9388221e-01
 -3.0279860e-01 -1.2672341e+00 -3.8085207e-01 -1.2826811e-01
  7.6061399e-03  4.8589166e-02 -6.9871283e-01 -1.5803130e-01
 -6.0808414e-01  3.5061717e-01 -9.5482862e-01  4.5337683e-01
 -5.0108206e-01  1.3204300e-01  1.2292477e-01 -2.8495079e-01
  6.0751189e-02 -3.6286390e-01  7.4395740e-01  1.9233344e-01
 -1.1471883e-01  2.8772175e-01  1.2349893e-01 -3.2282394e-01
  1.4734255e-01  9.0279646e-02 -9.6564621e-01  2.8895670e-01
 -1.4511487e-01 -7.6193023e-01  8.4169632e-01 -3.2047325e-01
  2.4947691e-01 -2.9420027e-01 -5.9435844e-01  8.8646837e-02
  2.9934898e-01  1.0467010e-01 -3.4134036e-01 -5.2749300e-01
  6.7192829e-01 -1.7935054e-01 -6.6756517e-02 -5.5409259e-01
  8.2843661e-02 -4.8690975e-01  3.9232421e-01  6.4575326e-01]"
cs.DS;cs;Data Structures and Algorithms;;;;;
cs.ET;cs;Emerging Technologies;;;;;
cs.FL;cs;Formal Languages and Automata Theory;http://www.wikidata.org/entity/Q192161;http://dbpedia.org/resource/Formal_language;https://cso.kmi.open.ac.uk/topics/formal_languages_and_automata_theory;11.0;"[-0.77232283  0.04094559  0.3994328  -0.18900555  0.5170628  -0.9794012
  0.01589263 -0.2163237  -0.36142486  0.37146017 -0.15486348  0.4788836
  0.26533678  0.28068045 -0.11205009 -0.7462316   0.07692708 -0.7486532
 -0.66941327  0.12630343  0.29930183 -0.28347477 -0.28940415 -0.3101113
  1.3692243   0.10672923 -0.24347971 -0.9321988   1.2229506  -0.37088624
 -0.363994    0.29076818  0.8488249   1.3318894   0.05009592  0.90090775
  0.25500098  0.09094924  0.7043188   0.23304497  0.0742689  -0.9543783
  0.13836277 -0.5909249  -0.3614494   1.0156797   0.1612373   0.58174735
  0.7546784   0.40157273  0.46907902  0.8406917   0.31001014  0.68849707
  0.40304634 -0.14623058 -0.38509193 -0.31299773  0.17266345  0.17790034
 -0.53804564  0.4773796  -0.41596866  0.14623855  0.32002681  0.11066948
  0.13734928 -0.15312718  0.3694909  -0.44480854  0.4039146  -0.5245965
 -0.26144347  0.02008814  0.08964377  0.7744426   0.37410727  0.89654845
  1.0624248  -0.5298786   1.2572169  -0.04649819  0.83192915  1.186073
 -0.49381185  0.23071212 -0.79186773  0.6075179   0.33822826  0.15785089
 -1.3942938  -0.31381077  0.62875235 -0.12769437  0.274789   -0.24838564
 -0.32390007  0.03824507  0.17003812  0.05085982 -1.143627    0.34815368
  0.06134949  0.8340096  -0.3526834   0.4721293  -0.3143617   1.2160267
 -0.06883731  0.07808463  0.41611668  0.00936137 -0.42731228 -0.78120667
 -0.7124925   0.67623526 -0.08804706 -0.65021133  0.07856993 -0.48812616
 -0.8201758   0.43973163  0.0529395   0.37381944 -0.29113594 -0.02314231
 -0.913233   -0.1028011   0.6890097  -0.02603112  0.1646825  -0.8379188
 -0.84711874  0.94901663  0.4809686   0.04875747  0.26813582 -0.09727512
  0.440767   -0.15042455  0.19223881  0.36885038 -0.39414948 -0.90080225
  0.33785635 -0.12228932 -1.1713974   0.20623097 -0.27051595  0.3688998
  0.5520819   0.4947541  -0.10449656 -0.81225324  0.10732727 -0.17367794
  0.42802116  0.13505015  0.37884626 -0.07510895  0.5107411   0.06320135
 -0.94188607 -0.32035357 -0.8113043   0.00770865 -0.02160744 -0.3823647
  0.02591682 -0.5001735   0.51823807 -0.35253596  0.26503345  0.00905308
  0.26087564  0.3440207   0.4389773   0.61820304 -0.07723083  0.7500732
 -0.28046298  0.63369685 -0.18713047 -0.28862855 -0.7725099  -0.6290747
 -0.07905511 -0.27000928  0.27943096 -0.8145406  -1.0458617   0.06215593
  0.01930586  0.15427676 -0.20599756 -0.21803552  0.00371066 -0.6170879
  0.5054541   0.39095658]"
cs.GL;cs;General Literature;;;;;
cs.GR;cs;Graphics;http://www.wikidata.org/wiki/Q7600677;http://dbpedia.org/resource/Computer_graphics;https://cso.kmi.open.ac.uk/topics/interactive_computer_graphics;12.0;"[-0.47796094 -0.09274782  0.96613795  0.05929624  0.78279424 -0.40692458
 -0.15937427 -0.4569283  -0.30258206 -0.24545048 -0.5236435  -0.07723316
  0.45125937  0.48406163 -0.39434475 -0.570151    0.258192   -0.21551165
 -0.27403724 -0.33804533 -0.10659904 -0.75561345 -0.3235489   0.26751378
  0.37715542 -0.8601744  -0.32059842 -0.30413753  0.5638484   0.510351
  0.37789127 -0.26331404  0.09449621 -0.5151687  -0.45831484  0.8060943
  0.22918172  0.04769581  0.5496838   0.7562273  -0.22958244 -0.16938339
  0.6459597  -0.09302042 -0.3628079   0.17083193  0.2881138  -0.42327693
  0.11962157 -0.67064863 -0.05511183 -0.7076056  -0.06061764  0.02543363
  0.84998196  0.53884983  0.5377354   0.32199845  0.28899026 -0.02620084
  0.07324972 -0.50079924 -0.07606313  0.56302     0.09222877 -0.48015815
 -0.29556063  0.00996692  0.29966518  0.7560031  -0.05471674  0.31798217
  0.28458452 -0.12335561 -0.33733535 -0.22294712 -0.49500257  0.38286528
 -0.33219776 -0.5171675   0.24988641 -0.17570233  0.02269243  0.80498534
  0.06650707  0.7549657   0.52154857  0.07110445  0.17640571  0.10617235
 -0.28911853  0.33477402 -0.20697697 -0.1431134  -0.3843616   0.24044555
 -0.8597049   0.5934072  -0.26143453 -0.36549273 -0.38298514  0.2319858
  0.40876684  0.51394343  0.2668182   0.8213495   0.3241935   0.00739257
 -0.66839653 -0.11034112  0.42402756 -1.2462155  -0.19061811  0.38801217
  0.09551056 -0.3633706   0.5680461   0.00466118 -0.00813876 -0.12757798
  0.29033676  0.42332655 -0.23397405  0.44854724  0.78304595  0.07687701
 -0.80337536 -0.01356793  0.9044653  -0.16897775  0.25696272 -0.4478003
 -0.7084925   0.34545648 -0.49663806  0.10778531  0.36521605 -1.0043834
  0.31879276 -0.02599056 -0.581627    0.13426083 -0.8529575  -0.16069737
  0.98464334 -0.67942196 -0.45811749  0.6854792   0.3338968   0.16902402
 -0.01329322  0.11341548 -0.39041677 -0.31730524  0.16835412  1.0911272
  0.4602849  -0.45024037 -0.59077257  0.11023892  0.7316854  -0.19509396
 -0.7597012   0.00236238 -0.02387843 -0.17265733 -0.1432123  -0.08925404
  0.55544627 -0.9373956   0.5610446   0.16826497 -0.1163462  -0.34385738
 -0.02243125 -0.18723722 -0.29782248 -0.06011129 -0.18845466  0.17778881
 -0.30904672 -0.02589786 -0.42795256  0.22477865 -0.5771837  -0.82509005
 -0.5389165  -0.46813285  0.58682996 -1.0771683  -0.99292314 -0.3132263
  0.4914848  -0.45148453 -0.13620089 -0.09193724 -0.18515263 -1.5945871
  0.3362308   0.21392271]"
cs.GT;cs;Computer Science and Game Theory;http://www.wikidata.org/wiki/Q44455;http://dbpedia.org/resource/Game_theory;https://cso.kmi.open.ac.uk/topics/game_theory;13.0;"[-0.348396   -0.33650517 -0.28810185  0.02758622 -0.38146514  0.17358123
  0.9108337   0.09262046  0.74635625  1.3885247   0.3126984  -1.0250283
  0.01610362 -0.5575048   0.05016683 -0.67663574  0.7672298  -0.55786437
 -0.16669598  1.1264272  -0.40728197  0.21297213  0.09491214  0.40843123
  1.1183513  -0.4406914   0.28192827 -1.0612758   0.15490346  0.36750227
 -0.04516211 -0.3468772  -0.05225332  0.6581873  -0.5073701  -0.53524816
 -0.98033273  0.6973222   0.91956395  0.58473164  0.71436465  0.63250357
  0.8252178  -0.82332706  0.20959413  0.511858   -0.2488204   0.5032674
  1.2428548   0.15527825  0.06298544 -0.37393683  0.32049218  0.86543924
  1.109388    0.34371668 -0.05835547  0.5506347   0.17187747  0.39258906
  0.34906104  0.11143056 -0.48652264  0.9191782   0.16639215  0.09675542
  1.1958226   0.5313966  -0.0310494   0.40306467  0.5556248   0.85595834
  0.55605614 -0.28510064 -0.00512701 -0.19794168  0.403134    1.3274124
  0.27868754 -0.559056    0.68925637 -0.44169745  0.36315987 -0.5969473
 -0.815649   -0.00524512 -0.85608226  1.6025907   0.1016795  -0.10529874
  0.07954093  1.035217   -0.8645436  -0.27401635  0.0378864   0.01187764
 -0.21983969  0.26546445 -0.12000088 -0.6771968   0.15555805  0.23294945
 -0.41093016  1.2414327   0.16585243 -0.33249328 -0.35833496 -0.5810953
 -0.02719524 -0.52787226 -0.7708214  -0.2767313  -0.8093777   0.8569763
 -0.6983447  -0.22542007  0.63678527 -0.67437774 -0.5170189  -0.4732564
  0.1431522   0.2747259   0.12899849 -0.49341273  0.61473435 -0.3419665
 -0.8877096   0.6182343   0.5002871  -0.12927434  0.05845326 -0.7445613
  0.10029748  0.64178777  0.33995068  0.40937158 -0.4729879  -0.24459876
 -0.39343464  0.07219174  0.23433816  0.38845146 -0.8257124  -0.28820032
  0.42478475  0.3921468  -0.65015084  0.22220981  0.5623681  -0.3346789
  1.0590676   1.0487344  -0.38554728 -0.31322455  0.6362365   1.0823677
  0.10180052 -0.55379283 -0.41954806 -0.2620507   0.05283567  0.49543095
 -0.2659069   0.69500077 -0.279727   -0.10890678 -0.28136173  0.43742588
  0.2761035  -0.6674488  -0.43763885 -0.47161663 -0.10269392  0.45383787
  0.08351483 -0.34518188  0.2770193   0.35643673 -0.5434886   0.17966513
  0.1923313  -0.33180502 -0.23215896 -0.1661617  -0.3117215   0.11757524
 -0.47398022 -0.5839053   0.39137563  0.24052674 -0.13746332 -0.25164813
  0.2721863  -0.14959253 -0.64796585 -0.21689376 -0.17802882 -0.47327605
  0.4665143  -0.46631452]"
cs.HC;cs;Human-Computer Interaction;http://www.wikidata.org/wiki/Q207434;http://dbpedia.org/resource/Human-Computer_Interaction;https://cso.kmi.open.ac.uk/topics/human-computer_interaction;14.0;"[-3.04814160e-01  2.14741528e-02 -3.74492034e-02 -1.59504674e-02
  1.75541267e-01 -3.34675908e-01  3.05551022e-01 -4.51743066e-01
  1.04319127e-02  2.55712092e-01 -7.60343447e-02  3.16670761e-02
 -1.80780105e-02 -6.20498601e-03 -1.79929376e-01 -1.50646999e-01
  1.49054408e-01 -3.68270231e-03 -1.39235169e-01 -2.87193656e-02
 -2.19622269e-01 -8.35104585e-02 -2.74127871e-01  1.94518462e-01
  5.03354609e-01 -1.87090829e-01 -1.02912143e-01 -1.79966360e-01
  9.44866836e-02  1.87520571e-02  2.24213779e-01  1.42415628e-01
 -1.36447549e-01  4.02514450e-02 -6.15745317e-03  3.13251644e-01
 -3.00152481e-01  3.45950499e-02  4.01682496e-01 -6.06661960e-02
  2.00846240e-01 -9.62194875e-02  7.58901656e-01 -9.34007540e-02
 -1.94397327e-02 -9.49352160e-02  1.77859992e-01  4.27730456e-02
  3.70690614e-01 -4.03110161e-02 -3.06766201e-02 -2.73493454e-02
 -3.34589571e-01  3.11561972e-01  1.64915502e-01 -1.49920031e-01
  2.76519388e-01  2.72008747e-01  9.60569531e-02  1.40982106e-01
  1.90877486e-02 -6.30004331e-02 -2.98379231e-02  4.22921032e-01
 -1.24583274e-01  1.50715962e-01  2.06687912e-01  1.71161056e-01
 -8.60855877e-02  2.54725635e-01 -3.46858576e-02  5.45078516e-02
  2.54334956e-01 -9.46238339e-02 -1.41875148e-01  1.87322691e-01
  3.92521545e-02  2.96695113e-01 -1.96252719e-01 -7.44847953e-02
 -1.41005397e-01 -9.35734883e-02  2.17374161e-01  7.62536302e-02
 -9.92939100e-02 -6.90209642e-02  1.18975215e-01  1.25576362e-01
  1.39199585e-01  3.25547755e-01 -1.49203971e-01  2.74806172e-01
 -2.15847388e-01  2.40415055e-03 -1.46704867e-01  1.08164102e-01
 -9.96717066e-02  7.31403381e-02 -1.98936625e-03 -2.40475610e-01
 -6.68255938e-03 -2.22397953e-01  4.97002490e-02  1.29324347e-01
 -2.54559312e-02  8.41604546e-02  3.04750651e-01 -1.77446052e-01
 -2.52747357e-01 -2.77175933e-01  1.27457082e-01  6.51780218e-02
 -8.41810405e-02  2.16113366e-02 -2.65531003e-01 -4.59106565e-02
 -5.47948247e-03 -1.07783414e-02  4.11559165e-01 -2.42638290e-01
  1.53773785e-01  1.67786628e-02 -1.62375927e-01  6.96785152e-02
  1.03427798e-01 -4.34213318e-03 -4.56018001e-01 -1.39825642e-01
  2.07251370e-01 -4.89786237e-01  3.07258695e-01 -2.36362830e-01
 -1.68120176e-01 -1.76839735e-02 -9.14035439e-02 -2.03253716e-01
  1.33815140e-01 -2.11149275e-01 -4.21452790e-01  1.51461437e-01
  1.35743991e-01 -9.98518094e-02 -2.96511829e-01 -8.97910744e-02
  1.97421923e-01  7.98333287e-02 -6.33540154e-01  5.90844825e-02
 -1.18629530e-01  9.27480161e-02  3.06483150e-01  9.07299817e-02
 -2.12825552e-01 -4.76561874e-01 -2.99676452e-02  1.60387516e-01
  9.20167789e-02 -3.22507441e-01 -4.09269333e-01 -1.67295393e-02
  2.80573756e-01  2.76586562e-01 -2.28474200e-01  1.46823255e-02
 -9.90500394e-03 -2.53351659e-01 -3.17053460e-02  1.47914514e-01
  2.96512663e-01 -3.91501635e-01  2.66669780e-01 -2.67855704e-01
 -7.47918934e-02  2.56086230e-01 -1.75067082e-01  8.35790634e-02
 -1.63382918e-01 -4.24099825e-02 -3.50857601e-02  8.07320252e-02
 -8.62829238e-02  4.82842028e-02 -2.20480129e-01 -2.31446093e-03
 -1.13320351e-02 -7.20010772e-02 -3.94189328e-01 -2.78543085e-02
  3.02894682e-01  5.88660873e-02 -1.09583855e-01  2.92946992e-04
 -4.44267504e-02  9.54146236e-02 -7.64972642e-02 -8.60325061e-03
 -2.07923502e-01 -3.03994119e-01  7.28235319e-02 -1.26445033e-02]"
cs.IR;cs;Information Retrieval;http://www.wikidata.org/entity/Q816826;http://dbpedia.org/resource/Information_retrieval;https://cso.kmi.open.ac.uk/topics/information_retrieval;15.0;"[-1.21222723e+00 -8.49957228e-01  3.03885251e-01 -3.45714509e-01
 -2.93092400e-01  3.11771005e-01  5.46522021e-01  6.40462697e-01
  3.37188393e-01 -4.60873693e-01 -2.96203882e-01 -6.56431198e-01
  3.10001105e-01  4.89260666e-02 -1.85899681e-03  9.14120451e-02
  6.36376441e-01 -6.99010015e-01 -7.70476103e-01  4.50027883e-01
 -3.80136162e-01 -3.79934423e-02 -7.56362975e-02 -7.35665089e-04
  1.85363516e-01 -7.53628314e-01  1.12875748e+00 -4.59414542e-01
  3.31588119e-01 -3.73121977e-01 -1.82128713e-01  1.43326893e-01
  1.86194777e-01  8.15599084e-01  3.34808566e-02  3.97907384e-02
  2.13205442e-01  1.94323272e-01  8.84569049e-01  2.34214276e-01
  6.73388600e-01  2.91902244e-01  9.13600683e-01 -1.17287494e-01
  2.75529832e-01  1.06704545e+00 -9.28359449e-01 -2.62279958e-01
  7.07128584e-01 -6.31166637e-01 -1.77131131e-01  1.00146639e+00
 -7.21107200e-02  1.16089150e-01  3.08816228e-02  2.13767171e-01
  7.66040683e-02 -5.29170275e-01 -2.86707599e-02  4.68975157e-01
 -3.86542767e-01  1.74097165e-01 -2.54356474e-01 -1.10137304e-02
  1.05984557e+00 -1.17399700e-01 -5.89483798e-01  5.34561098e-01
 -6.17625080e-02 -2.61247337e-01  4.65782046e-01  3.02196950e-01
 -7.55592883e-01  1.25751242e-01  6.70900121e-02 -4.86231595e-01
 -1.52394593e+00  8.59485686e-01  1.92707211e-01 -1.81000888e-01
 -1.35345727e-01  3.98962259e-01  5.42559512e-02 -2.76728004e-01
 -4.31541800e-01 -3.75823349e-01 -3.77337635e-01  1.07952273e+00
  2.57548034e-01 -2.69925535e-01 -9.00279820e-01  1.04933488e+00
  4.91873294e-01 -1.14214914e-02 -6.56283975e-01  4.61322814e-02
 -6.60874188e-01 -8.41713309e-01 -1.64627314e-01  1.74717903e-02
 -2.74838448e-01 -1.79979816e-01 -3.90666239e-02  8.05881262e-01
  5.70650637e-01 -6.75369278e-02  5.64801395e-02  2.18952373e-01
 -9.35554147e-01  5.43408930e-01  5.53923130e-01 -6.89735174e-01
  1.54505730e-01  1.87376499e-01  3.74723315e-01  2.28819489e-01
  3.04782055e-02  8.30796454e-03  7.56399095e-01 -1.10267770e+00
  3.81514169e-02 -5.37549593e-02 -9.86109227e-02  4.11235660e-01
  1.43568397e-01 -3.22478116e-01 -1.02843785e+00  7.02627540e-01
 -3.25135402e-02  9.40451682e-01  4.23054278e-01 -7.87247479e-01
  1.06935523e-01  5.99370658e-01 -7.34355748e-01 -8.29866707e-01
 -4.09065664e-01 -7.15303183e-01  2.26847470e-01 -4.03216928e-01
 -4.29309219e-01  1.49840212e+00 -6.05391979e-01 -1.10580966e-01
  1.03766167e+00 -6.23604774e-01 -5.19729964e-03  1.82091773e-01
 -8.44694257e-01  7.31259048e-01  2.29726210e-01  3.64895523e-01
 -5.42738795e-01 -2.89722443e-01 -9.98526633e-01 -1.69654444e-01
  2.02549249e-01 -3.15755188e-01  7.72405937e-02  4.31892753e-01
  4.20436949e-01  6.76296771e-01 -6.50994718e-01 -4.55376685e-01
  1.42839709e-02  4.42948312e-01  1.30890501e+00 -1.90725282e-01
  7.38869831e-02 -9.66031909e-01 -1.25516295e-01 -7.14502335e-01
  3.54826450e-01  8.16523731e-02 -2.96545893e-01 -3.11256982e-02
  1.12928348e-02  2.53739804e-01 -1.09604132e+00  3.35540056e-01
  1.33352831e-01 -5.59611842e-02 -9.48163569e-02 -4.80437785e-01
  4.26536441e-01  6.15109950e-02  2.45519757e-01 -1.80372894e-01
  4.28295404e-01  8.99228156e-02 -5.26016295e-01 -3.27215046e-01
 -2.87730157e-01 -1.05760646e+00  3.78634483e-01  7.17944264e-01
 -6.49739385e-01 -6.63089871e-01 -1.80521965e-01 -1.36720268e-02]"
